alert_type,ticker,price,timestamp,date,time,channel
call,NDX,24264.4009,2025-09-16T16:30:05.904000+00:00,2025-09-16,16:30:05,asumasnam-alerts
exit,CVX,159.68,2025-09-16T16:35:26.122000+00:00,2025-09-16,16:35:26,asumasnam-alerts
call,NDX,24265.4048,2025-09-16T16:40:04.575000+00:00,2025-09-16,16:40:04,asumasnam-alerts
call,NDX,24272.3805,2025-09-16T16:45:07.085000+00:00,2025-09-16,16:45:07,asumasnam-alerts
exit,CVX,159.28,2025-09-16T17:00:10.202000+00:00,2025-09-16,17:00:10,asumasnam-alerts
call,SPX,6611.33,2025-09-16T17:15:00.634000+00:00,2025-09-16,17:15:00,asumasnam-alerts
call,NDX,24282.4891,2025-09-16T17:25:03.891000+00:00,2025-09-16,17:25:03,asumasnam-alerts
call,NDX,24286.5581,2025-09-16T17:30:11.394000+00:00,2025-09-16,17:30:11,asumasnam-alerts
call,NDX,24289.1674,2025-09-16T17:40:04.523000+00:00,2025-09-16,17:40:04,asumasnam-alerts
exit,SPX,6608.79,2025-09-16T17:45:00.986000+00:00,2025-09-16,17:45:00,asumasnam-alerts
exit,CVX,159.67,2025-09-16T18:25:14.750000+00:00,2025-09-16,18:25:14,asumasnam-alerts
call,SPX,6613.48,2025-09-16T18:50:00.481000+00:00,2025-09-16,18:50:00,asumasnam-alerts
call,SPX,6614.74,2025-09-16T18:55:00.479000+00:00,2025-09-16,18:55:00,asumasnam-alerts
call,NDX,24281.0663,2025-09-16T19:00:13.117000+00:00,2025-09-16,19:00:13,asumasnam-alerts
call,NDX,24287.4566,2025-09-16T19:05:02.452000+00:00,2025-09-16,19:05:02,asumasnam-alerts
call,NDX,24290.445,2025-09-16T19:10:04.374000+00:00,2025-09-16,19:10:04,asumasnam-alerts
call,NDX,24294.4527,2025-09-16T19:15:05.676000+00:00,2025-09-16,19:15:05,asumasnam-alerts
call,NDX,24299.36,2025-09-16T19:20:02.971000+00:00,2025-09-16,19:20:02,asumasnam-alerts
exit,CVX,159.17,2025-09-16T19:30:02.553000+00:00,2025-09-16,19:30:02,asumasnam-alerts
exit,SPX,6609.26,2025-09-16T19:30:03.267000+00:00,2025-09-16,19:30:03,asumasnam-alerts
exit,AVGO,357.49,2025-09-17T13:35:03.538000+00:00,2025-09-17,13:35:03,pro-account-alerts
call,CAT,444.91,2025-09-17T13:35:05.173000+00:00,2025-09-17,13:35:05,asumasnam-alerts
exit,GOOGL,250.05,2025-09-17T13:35:05.478000+00:00,2025-09-17,13:35:05,pro-account-alerts
exit,COIN,324.4,2025-09-17T13:35:05.489000+00:00,2025-09-17,13:35:05,pro-account-alerts
call,ULTA,526.25,2025-09-17T13:36:00.322000+00:00,2025-09-17,13:36:00,asumasnam-alerts
exit,ORCL,301.15,2025-09-17T13:40:01.272000+00:00,2025-09-17,13:40:01,asumasnam-alerts
call,DE,474.065,2025-09-17T13:40:01.941000+00:00,2025-09-17,13:40:01,pro-account-alerts
exit,OKLO,93.89,2025-09-17T13:40:03.516000+00:00,2025-09-17,13:40:03,asumasnam-alerts
call,ULTA,529.13,2025-09-17T13:40:05.021000+00:00,2025-09-17,13:40:05,asumasnam-alerts
call,CAT,447.77,2025-09-17T13:40:05.098000+00:00,2025-09-17,13:40:05,asumasnam-alerts
call,CVX,160.16,2025-09-17T13:40:05.909000+00:00,2025-09-17,13:40:05,asumasnam-alerts
call,APP,604.75,2025-09-17T13:45:02.376000+00:00,2025-09-17,13:45:02,pro-account-alerts
call,COST,963.59,2025-09-17T13:45:04.528000+00:00,2025-09-17,13:45:04,asumasnam-alerts
call,APP,609.35,2025-09-17T13:50:05.964000+00:00,2025-09-17,13:50:05,pro-account-alerts
call,SPX,6612.15,2025-09-17T13:55:02.901000+00:00,2025-09-17,13:55:02,expert-spx-alerts
call,APP,611.83,2025-09-17T13:55:07.883000+00:00,2025-09-17,13:55:07,pro-account-alerts
call,LLY,769.68,2025-09-17T14:00:00.616000+00:00,2025-09-17,14:00:00,pro-account-alerts
exit,SPY,659.55,2025-09-17T14:05:00.476000+00:00,2025-09-17,14:05:00,expert-spx-alerts
exit,SPX,6603.14,2025-09-17T14:05:00.944000+00:00,2025-09-17,14:05:00,expert-spx-alerts
