channel,author,is_bot,content,created_at
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on NDX at 2025-09-16T16:30:01Z | Price: 24264.4009,2025-09-16T16:30:05.904000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit!! Heikin-Ashi momentum weakening on CVX at 2025-09-16T16:35:25Z | Price: 159.68,2025-09-16T16:35:26.122000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on NDX at 2025-09-16T16:40:02Z | Price: 24265.4048,2025-09-16T16:40:04.575000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on NDX at 2025-09-16T16:45:06Z | Price: 24272.3805,2025-09-16T16:45:07.085000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit!! Heikin-Ashi momentum weakening on CVX at 2025-09-16T17:00:01Z | Price: 159.28,2025-09-16T17:00:10.202000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on SPX at 2025-09-16T17:15:00Z | Price: 6611.33,2025-09-16T17:15:00.634000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on NDX at 2025-09-16T17:25:01Z | Price: 24282.4891,2025-09-16T17:25:03.891000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on NDX at 2025-09-16T17:30:04Z | Price: 24286.5581,2025-09-16T17:30:11.394000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on NDX at 2025-09-16T17:40:02Z | Price: 24289.1674,2025-09-16T17:40:04.523000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit!! Heikin-Ashi momentum weakening on SPX at 2025-09-16T17:45:00Z | Price: 6608.79,2025-09-16T17:45:00.986000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit!! Heikin-Ashi momentum weakening on CVX at 2025-09-16T18:25:14Z | Price: 159.67,2025-09-16T18:25:14.750000+00:00
